nace_r2_code,nace_r2_name,year,valVA_Q,valVA_CP,valCOMP,valH_EMP,valEMPE,valEMP,valKq_GFCF,total_hours,valueLAB_QI,valueCAP_QI,valueLP1_G,valueLP1ConLC,valueLP2_G,valueLP2ConLC,valueLAB,valueCAP
C,Manufacturing,1996,412392.270954232,408805,200419,2544629,1323.73,1418.73,1159001.34764281,2727249.13779245,94.6340179443359,53.0923042297363,3.94906544685364,-0.133266761898994,3.74303317070007,-0.133266761898994,223433.15625,185371.84375
C10-C12,Manufacture of food products; beverages and tobacco products,1996,73379.3870182851,52094,23828,340987,169.84,183.32,135494.353810122,368050.73504474794,119.036819458008,76.8518295288086,-10.8589363098145,-1.68577265739441,-11.4236783981323,-1.68577265739441,26958.552734375,25135.447265625
C13-C15,"Manufacture of textiles, wearing apparel, leather and related products",1996,39410.7820134547,26871,17899,291106,152.98,163.91,62689.8073056826,311904.7225781148,249.288055419922,133.534591674805,-5.66234064102173,-3.28319120407104,-5.32485866546631,-3.28319120407104,19970.052734375,6900.947265625
C16-C18,"Manufacture of wood, paper, printing and reproduction",1996,29058.2890438508,27854,14241,237133,106.75,124.56,78689.8035655849,276695.89208430913,111.285537719727,61.0920753479004,8.66722393035889,4.39344167709351,9.15839099884033,4.39344167709351,17870.431640625,9983.568359375
C19,Manufacture of coke and refined petroleum products,1996,-2512.44699384929,7921,2329,19409,11.26,11.26,25791.7502484088,19409.0,1402.7333984375,180.116943359375,14.9705991744995,4.87555360794067,14.3755378723145,4.87555360794067,2329.96044921875,5591.03955078125
C20,Manufacture of chemicals and chemical products,1996,25189.4290591252,24739,7068,69769,40.34,40.74,91853.5608211563,70460.80961824491,100.021377563477,98.8969039916992,0.247754156589508,-4.68750095367432,-0.306732952594757,-4.68750095367432,7180.17578125,17558.82421875
C20-C21,Chemicals; basic pharmaceutical products,1996,34747.8534640845,34150,8431,86057,47.22,48.9,110095.394444112,89118.74841168996,98.1855621337891,87.6917190551758,0.132195651531219,-3.51625895500183,-0.637523829936981,-3.51625895500183,9025.89453125,25124.10546875
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1996,11535.1780973505,9411,1363,16288,6.88,8.16,17915.783817631,19318.32558139535,93.96533203125,56.865665435791,4.01130676269531,-0.468644320964813,3.88908767700195,-0.468644320964813,1896.509765625,7514.490234375
C22-C23,Manufacture of rubber and plastic products and other non-metallic mineral products,1996,43436.0943523616,41214,21644,243929,133.74,139.98,147847.188681082,255310.1646478241,111.290588378906,60.5612602233887,4.57080364227295,-2.22596573829651,4.18616628646851,-2.22596573829651,23274.345703125,17939.654296875
C24-C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",1996,150783.608194008,83512,40574,458511,239.45,256.65,195613.880419596,491446.4320317394,99.3962020874023,61.5763702392578,-0.225687026977539,-0.983604609966278,-0.435451030731201,-0.983604609966278,45132.51953125,38379.48046875
C26,"Manufacture of computer, electronic and optical products",1996,6126.75703363365,12423,4780,59673,32.65,34.18,18793.4632780969,62469.31516079633,80.3662872314453,11.2897319793701,24.8337860107422,0.326293349266052,24.5390319824219,0.326293349266052,5138.29345703125,7284.70654296875
C26-C27,"Computer, electronic, optical products; electrical equipment",1996,18632.4901749213,31038,14164,200858,102.43,112.61,49149.8115668535,220820.26144684173,65.9870071411133,17.4821758270264,16.7384624481201,-1.54809629917145,16.3415279388428,-1.54809629917145,16418.525390625,14619.474609375
C27,Manufacture of electrical equipment,1996,13394.7281450407,18615,9384,141185,69.78,78.43,30955.9855184827,158686.4366580682,60.1515693664551,28.4487628936768,12.1746959686279,-2.71057033538818,11.679443359375,-2.71057033538818,11250.2021484375,7364.7978515625
C28,Manufacture of machinery and equipment n.e.c.,1996,38414.9142174655,40649,21254,244430,136.67,139.28,83595.7500514655,249097.90297797616,112.016792297363,38.7911834716797,7.10276126861572,2.09742045402527,6.61589670181274,2.09742045402527,21887.533203125,18761.466796875
C29-C30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",1996,23442.3473412571,34579,17026,178974,105.79,106.13,224795.113587601,179549.20710842233,55.3748664855957,42.1447372436523,12.0924425125122,0.32764944434166,11.4327220916748,0.32764944434166,17114.453125,17464.546875
C31-C33,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",1996,44323.2565917183,28923,19029,243235,117.6,132.13,49756.4807192559,273287.75977891154,91.3832168579102,44.231128692627,6.12739419937134,5.65492963790894,6.29099082946777,5.65492963790894,22717.8828125,6205.1171875
D,"Electricity, gas, steam and air conditioning supply",1996,251669.752407319,73698,13835,93756,54.68,54.85,636708.954506697,94047.48719824433,133.317443847656,74.0551681518555,10.1992816925049,-1.08838331699371,9.22303009033203,-1.08838331699371,13883.2734375,59814.7265625
D-E,"Electricity, gas, steam; water supply, sewerage, waste management",1996,320429.225689692,91208,21566,189197,108.69,110.03,896956.800229253,191529.54190817924,131.439468383789,72.8279266357422,3.74701929092407,-2.59624671936035,2.76071739196777,-2.59624671936035,21868.71875,69339.28125
E,"Water supply; sewerage, waste management and remediation activities",1996,72456.516136393,17510,7731,95441,54.01,55.18,260977.238695413,97508.50546195148,132.703384399414,65.0064697265625,-4.78756856918335,-7.49214220046997,-5.86144781112671,-7.49214220046997,7921.3125,9588.6875
F,Construction,1996,418881.267642365,127987,68900,977735,400.14,503.24,209902.517726641,1229658.023191883,110.245552062988,48.4953804016113,1.11320078372955,3.40753674507141,1.91382145881653,3.40753674507141,92900.984375,35086.015625
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,1996,161338.101117005,167715,81047,1298381,517.02,675.03,405150.297371556,1695188.051584078,89.777946472168,55.9219245910645,8.56353378295898,1.74551367759705,9.59915161132812,1.74551367759705,114604.9140625,53110.0859375
G45,Wholesale and retail trade and repair of motor vehicles and motorcycles,1996,33680.0623285069,19373,8039,158885,63.43,81.74,34555.1533240193,204749.48604761154,70.1432571411133,33.0833511352539,-16.5793800354004,8.85261821746826,-15.4630069732666,8.85261821746826,11187.203125,8185.796875
G46,"Wholesale trade, except of motor vehicles and motorcycles",1996,72008.7885634482,79871,40852,404651,188.29,219.17,176335.862235941,471014.7095968984,76.7072906494141,56.8842735290527,15.8634243011475,2.56189203262329,16.8628692626953,2.56189203262329,50166.4609375,29704.5390625
G47,"Retail trade, except of motor vehicles and motorcycles",1996,62781.7066103201,68471,32156,734845,265.3,374.12,194477.971056436,1036261.6336223143,110.685440063477,64.8883972167969,9.0235710144043,-1.33637583255768,9.99687194824219,-1.33637583255768,49798.58203125,18672.41796875
H,Transportation and storage,1996,286070.601152644,111082,46442,567531,301.61,327.34,876156.076865398,615946.4127184112,86.4165115356445,47.8653793334961,6.77358055114746,1.70354509353638,5.87923955917358,1.70354509353638,52212.9921875,58869.0078125
H49,Land transport and transport via pipelines,1996,216473.80101362,70037,33847,436877,220.8,244.82,193868.040623492,484403.2026268115,92.8075866699219,35.3452262878418,8.58515644073486,2.44549942016602,7.66412925720215,2.44549942016602,39090.75,30946.25
H50,Water transport,1996,8161.49688924392,1054,593,6439,3.52,3.6,6447.39429477004,6585.340909090909,,,,,,,,
H51,Air transport,1996,221786.804368281,4128,1227,5114,3.14,3.14,4770.52843432028,5114.0,,,,,,,,
H52,Warehousing and support activities for transportation,1996,58013.0247627517,26654,4152,44172,24.26,25.77,683198.017497615,46921.37015663644,62.7358894348145,58.4307479858398,-9.07328128814697,-0.933125793933868,-9.98106479644775,-0.933125793933868,4525.095703125,22128.904296875
H53,Postal and courier activities,1996,18518.7905242464,9209,6623,74929,49.89,50.01,10450.5481533191,75109.22609741431,103.969230651855,54.8749160766602,8.21649074554443,-0.59401661157608,7.5066180229187,-0.59401661157608,6647.84228515625,2561.15771484375
I,Accommodation and food service activities,1996,213884.254205216,56796,13006,313582,121.98,150.76,118081.851664636,387568.6368257091,83.5774002075195,68.773063659668,3.56473851203918,0.533559322357178,3.04705238342285,0.533559322357178,17699.13671875,39096.86328125
J,Information and communication,1996,93431.4616422346,57056,20092,163114,79.66,89.55,191921.417925204,183365.0351493849,61.5974578857422,43.8877487182617,2.76321458816528,-5.43150186538696,1.68237233161926,-5.43150186538696,23617.53125,33438.46875
J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",1996,28562.823656093,13772,6693,60399,30.2,33.03,49987.3210698436,66058.90629139073,103.417137145996,72.7802886962891,-6.88552713394165,-9.17543888092041,-7.96998596191406,-9.17543888092041,7552.27294921875,6219.72705078125
J61,Telecommunications,1996,25115.0856032837,27163,7291,43773,25.51,25.6,125421.7264648,43927.43237945904,107.730751037598,47.3082427978516,8.31559658050537,-4.03165054321289,8.01336574554443,-4.03165054321289,7326.98828125,19836.01171875
J62-J63,"Computer programming, consultancy, and information service activities",1996,41822.1219424297,16121,6108,58942,23.95,30.92,16932.5713845365,76095.47557411274,48.5156898498535,17.0416355133057,4.13037776947021,-2.26924157142639,2.569504737854,-2.26924157142639,8637.6611328125,7483.3388671875
K,Financial and insurance activities,1996,78226.794428954,53794,23965,139493,70.94,80.02,186444.431797239,157347.47476740906,78.8082122802734,80.4707794189453,5.40200471878052,-0.786560595035553,6.28760385513306,-0.786560595035553,27365.337890625,26428.662109375
L,Real estate activities,1996,464814.459581929,102226,5500,110130,44.89,57.29,4029527.00562716,140551.2965025618,72.1845169067383,51.8652114868164,-2.02410292625427,0.803257822990417,-4.45741319656372,0.803257822990417,7909.265625,94316.734375
L68A,Imputed rents of owner-occupied dwellings,1996,65555.0,65555,0,0,0.0,0.0,,,,,,,,,,
M,"Professional, scientific and technical activities",1996,148428.961158001,72579,29461,373902,156.65,214.13,262688.722826237,511098.85260134056,57.7889595031738,73.0535430908203,-6.7202525138855,0.985284149646759,-6.97103071212769,0.985284149646759,42478.8359375,30100.1640625
M-N,"Professional, scientific and technical activities; administrative and support service activities",1996,212698.093249766,103576,42566,589216,259.6,336.0,312421.796862082,762621.6332819721,61.3351135253906,60.9283638000488,-3.87239980697632,0.943921148777008,-4.16198825836182,0.943921148777008,57570.3203125,46005.6796875
MARKT,"Market economy (all industries excluding L, O, P, Q, T and U)",1996,2029804.27792647,1320840,582862,7681405,3596.16,4171.41,4939421.08191174,8910140.158127002,91.3709030151367,56.3994827270508,4.16380977630615,0.459440141916275,4.0835747718811,0.459440141916275,713697.0,607143.0
MARKTxAG,Non-agricultural market economy (Market economy less industry A),1996,1947600.94023393,1249628,550164,7153910,3363.88,3903.12,4647949.42449378,8300703.116401298,90.8472366333008,56.0396919250488,4.4945559501648,0.458183407783508,4.42288970947266,0.458183407783508,673303.125,576324.875
N,Administrative and support service activities,1996,64225.2564329196,30997,13105,215314,102.95,121.87,54060.8597535257,254884.0911121904,68.0441818237305,35.2978134155273,2.75499176979065,0.888940036296844,2.37308859825134,0.888940036296844,16002.052734375,14994.947265625
O,Public administration and defence; compulsory social security,1996,309246.713688808,118447,74012,651787,373.88,373.88,2008454.82962288,651787.0,98.3179473876953,87.5971908569336,-3.72571730613708,-3.4658796787262,-3.35730028152466,-3.4658796787262,74012.0,44435.0
O-Q,"Public administration, defence, education, human health and social work activities",1996,809095.5608848,247846,152194,1592198,876.15,900.59,3406669.75875693,1636611.9920333277,87.5601043701172,86.9403991699219,1.34486293792725,0.738800883293152,1.19144022464752,0.738800883293152,157914.40625,89931.59375
P,Education,1996,236479.08260489,68707,42014,444519,253.28,258.43,1064637.59004704,453557.50619867345,88.646125793457,102.543815612793,3.52726459503174,3.15401887893677,3.44421195983887,3.15401887893677,42853.68359375,25853.31640625
Q,Human health and social work activities,1996,270735.515911112,60692,36168,495892,248.99,268.28,312683.643799497,534310.2363950359,79.3309860229492,65.009765625,4.09795665740967,2.81155347824097,3.49464893341064,2.81155347824097,40130.71875,20561.28125
Q86,Human health activities,1996,239208.198455495,53148,31707,433795,215.99,233.1,148940.515431044,468158.77818417514,91.0269393920898,52.5387191772461,5.17175340652466,2.82528972625732,4.81132030487061,2.82528972625732,35122.80859375,18025.19140625
Q87-Q88,Residential care activities and social work activities without accommodation,1996,31837.0731966006,7544,4461,62097,33.0,35.18,178296.952435658,66199.16545454547,41.8061103820801,94.1356964111328,-4.45191478729248,2.71004557609558,-6.13906669616699,2.71004557609558,5007.677734375,2536.322265625
R,"Arts, entertainment and recreation",1996,36196.0867108201,15764,7024,95402,49.1,54.24,114555.825611953,105389.0932790224,68.0500640869141,47.9270057678223,-10.8293542861938,-1.3490172624588,-11.1736354827881,-1.3490172624588,7973.912109375,7790.087890625
R-S,"Arts, entertainment, recreation; other services and service activities, etc.",1996,110233.002313308,39114,13352,233596,95.31,127.2,191071.853607356,311755.4422411079,70.1207580566406,59.7183380126953,-11.9899940490723,-1.10394096374512,-12.916615486145,-1.10394096374512,19027.06640625,20086.93359375
S,Other service activities,1996,85984.4666838943,23350,6328,138194,46.21,72.96,77313.1705577835,218191.60874269638,73.7356643676758,84.1509780883789,-12.7168445587158,-0.935804724693298,-13.9586315155029,-0.935804724693298,10946.744140625,12403.255859375
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1996,900.24570048957,458,328,4489,2.72,2.72,,4489.0,,,4.06667613983154,,3.57420301437378,,328.0,130.0
TOT,Total - all NACE activities,1996,3151990.16832174,1671370,740884,9388222,4519.92,5132.01,12392940.8567049,10659580.078014655,90.6006393432617,58.7830657958984,3.33955144882202,0.478754848241806,3.22326898574829,0.478754848241806,881698.9375,789671.0625
TOT_IND,Total industries (A-S),1996,3151121.7974825,1670912,740556,9383733,4517.2,5129.29,12392940.8567049,10655248.3484393,89.6851959228516,58.7187614440918,3.34240341186523,0.482490062713623,3.22707176208496,0.482490062713623,881388.6875,789523.3125
U,Activities of extraterritorial organisations and bodies,1996,,0,0,0,0.0,0.0,,,,,,,,,,
A,"Agriculture, forestry and fishing",1997,86798.9180058814,68724,34525,496939,215.09,251.12,299028.082296221,580181.8851643498,169.72834777832,70.8401260375977,-2.61552882194519,-0.488245010375977,-1.96898210048676,-0.488245010375977,42942.71875,25781.28125
B,Mining and quarrying,1997,80560.9981937702,33328,18898,125973,75.42,75.45,134087.065569776,126023.10859188545,244.816253662109,90.3536834716797,0.051291286945343,5.32886219024658,3.51881241798401,5.32886219024658,18907.455078125,14420.544921875
C,Manufacturing,1997,424830.46691775,457286,225571,2579342,1341.4,1436.89,1226022.96222944,2762957.15400328,94.6181411743164,55.9488830566406,1.6165714263916,-0.752360701560974,1.69962275028229,-0.752360701560974,251692.296875,205593.703125
C10-C12,Manufacture of food products; beverages and tobacco products,1997,71603.1477771046,57652,27254,338558,167.55,181.28,144989.137618435,366301.3681886004,118.098373413086,80.8297805786133,-1.73550951480865,-0.040439810603857,-1.33135664463043,-0.040439810603857,31039.533203125,26612.466796875
C13-C15,"Manufacture of textiles, wearing apparel, leather and related products",1997,36685.7165904708,26806,18722,282867,148.79,159.11,61611.0278805547,302486.5136769945,241.163986206055,130.953170776367,-4.29413080215454,-0.336342692375183,-4.19302415847778,-0.336342692375183,20862.396484375,5943.603515625
C16-C18,"Manufacture of wood, paper, printing and reproduction",1997,31239.6950318846,28857,14860,228284,101.39,119.27,84158.5724327384,268541.5985797416,106.585464477539,64.1653518676758,11.0416479110718,-0.332219928503036,11.57834815979,-0.332219928503036,18924.2265625,9932.7734375
C19,Manufacture of coke and refined petroleum products,1997,-994.067526666289,5737,1518,11347,6.58,6.59,24727.6087198289,11364.244680851065,362.650024414062,169.07746887207,-39.0423851013184,-22.803316116333,-39.1503982543945,-22.803316116333,1519.0712890625,4217.9287109375
C20,Manufacture of chemicals and chemical products,1997,23231.4165250414,25515,8276,70790,40.92,41.33,93485.6718984563,71499.28396871945,104.177703857422,99.213020324707,-9.54468631744385,0.811492443084717,-9.52971172332764,0.811492443084717,8408.439453125,17106.560546875
